doc_id,course,slot,value_doc,time_doc,source_doc,reliability_doc,title,text
d001,CLM000,date,2017-03-09,2017-03-09,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Cumulative anthropogenic (i.e., human-emitted) emissions of CO 2 from fossil fuel use are a major cause of global warming, and give some indication of which countries have contributed most to human-induced climate change. The global warming observed over the past 50 years is due primarily to human-induced emissions of heat-trapping gases. On March 9, 2017, in an interview on CNBC's Squawk Box, Pruitt stated that he ""would not agree that"" carbon dioxide is ""a primary contributor to the global warming that we see"" backing up his claim by stating that ""measuring with precision human activity on the climate is something very challenging to do and there's tremendous disagreement about the degree of impact."" In March 2017, Pruitt said that he does not believe that human activities, specifically carbon dioxide emissions, are a primary contributor to climate change, a view which is in contradiction with the scientific consensus. Pruitt rejects the scientific consensus that human-caused carbon dioxide emissions are a primary contributor to climate change.

Recorded date: 2017-03-09."
d002,CLM001,date,2010-04-20,2010-04-20,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The American Recovery and Reinvestment Act of 2009 and Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 served as economic stimulus amidst the Great Recession. In foreign policy, he ordered military intervention in Iraq in response to gains made by ISIL after the 2011 withdrawal from Iraq, continued the process of ending U.S. combat operations in Afghanistan in 2016, promoted discussions that led to the 2015 Paris Agreement on global climate change, initiated sanctions against Russia following the invasion in Ukraine and again after Russian interference in the 2016 United States elections, brokered a nuclear deal with Iran, and normalized U.S. relations with Cuba. On April 20, 2010, an explosion destroyed an offshore drilling rig at the Macondo Prospect in the Gulf of Mexico, causing a major sustained oil leak. ""Obama Legacy Will Be Recovery from Recession, Affordable Care Act"". After Russia's invasion of Crimea in 2014, military intervention in Syria in 2015, and the interference in the 2016 U.S. presidential election, Obama's Russia policy was widely seen as a failure.

Recorded date: 2010-04-20."
d003,CLM002,date,2017-06-01,2017-06-01,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
One part of the agreement pledges US$30 billion to the developing world over the next three years, rising to US$100 billion per year by 2020, to help poor countries adapt to climate change. It later produced a National Biodiversity Strategy and Action Plan, with one revision that was received by the convention on 21 September 2010. ""President Trump Signs First Congressional Review Act Disapproval Resolution in 16 Years"". On June 1, 2017, United States President Donald Trump announced that the U.S. would cease all participation in the 2015 Paris Agreement on climate change mitigation. Play media Play media In a televised announcement from the White House Rose Garden on June 1, 2017, Trump said, ""In order to fulfill my solemn duty to protect the United States and its citizens, the United States will withdraw from the Paris climate accord,"" adding ""The bottom line is that the Paris accord is very unfair at the highest level to the United States.""

Recorded date: 2017-06-01."
d004,CLM003,date,2017-06-01,2017-06-01,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The most densely populated part of the country, accounting for nearly 50 percent, is the Quebec City–Windsor Corridor in Southern Quebec and Southern Ontario along the Great Lakes and the Saint Lawrence River. Being the host country of the 2015 Paris Climate Change Conference, the French government was instrumental in securing the 2015 Paris agreement, a success that has been credited to its""openness and experience in diplomacy"" (though the US, after the election of President Trump in 2016, then announced it will withdraw from the agreement). On June 1, 2017, United States President Donald Trump announced that the U.S. would cease all participation in the 2015 Paris Agreement on climate change mitigation. The communique issued at the conclusion of the summit stated that the United States ""is not in a position to join the consensus"" of the other G7 countries on policies regarding climate change and the Paris Agreement. ""French PM blasts Trump's decision to pull US out of Paris climate accord as 'calamitous'"".

Recorded date: 2017-06-01."
d005,CLM004,date,2017-01-24,2017-01-24,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
An executive order was issued by President Trump on January 24, 2017 that removed barriers from the Keystone XL and Dakota Access Pipelines, making it easier for the companies sponsoring them to continue with production. On March 28, 2017, President Trump signed an executive order aimed towards boosting the coal industry. ""Executive Order Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal"". ""LGBTQ Advocates Say Trump's New Executive Order Makes Them Vulnerable to Discrimination"". On January 25, Trump signed an executive order, ""Enhancing Public Safety in the Interior of the United States"", to the Secretary of Homeland Security and the Attorney General and their departments and agencies to increase the enforcement of immigration laws which included the hiring of 10,000 ""additional immigration officers"".

Recorded date: 2017-01-24."
d006,CLM005,date,2013-05-09,2013-05-09,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
For an ideal gas mixture this is equivalent to parts per million by volume (ppmv). For contrast, today the carbon dioxide levels are at 400 ppm or 0.04%. Measurements of CO 2 from the Mauna Loa observatory show that concentrations have increased from about 313 parts per million (ppm) in 1960, passing the 400 ppm milestone on May 9, 2013. Carbon dioxide mole fractions in the atmosphere have gone up by approximately 35 percent since the 1900s, rising from 280 parts per million by volume to 387 parts per million in 2009. The oft-cited Mauna Loa average for 2012 is 393.8 ppm, which is a good approximation although typically about 1 ppm higher than the spatial average given above.

Recorded date: 2013-05-09."
d007,CLM006,date,2009-09-30,2009-09-30,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
On September 30, 2009, the Obama administration proposed new regulations on power plants, factories, and oil refineries in an attempt to limit greenhouse gas emissions and to curb global warming. Obama's approach of selectively combining regulation and incentive to various issues in the domestic energy policy, such as coal mining and oil fracking, has received mixed commentary for not being as responsive to the needs of the domestic manufacturing sector as needed, following claims that the domestic manufacturing sector utilizes as much as a third of the nation's available energy resources. The Clean Power Plan was an Obama administration policy aimed at combating global warming that was first proposed in 2014. His negotiations with congressional Republicans helped the Obama administration pass legislation including the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010, which resolved a taxation deadlock; the Budget Control Act of 2011, which resolved that year's debt ceiling crisis; and the American Taxpayer Relief Act of 2012, which addressed the impending fiscal cliff. Biden then took the lead in trying to sell the agreement to a reluctant Democrati

Recorded date: 2009-09-30."
d008,CLM007,date,2007-08-21,2007-08-21,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The only usable route linking the entrances of Lancaster Sound and Dolphin and Union Strait was discovered by John Rae in 1854. On August 21, 2007, the Northwest Passage became open to ships without the need of an icebreaker. On September 14, 2007, the European Space Agency stated that ice loss that year had opened up the historically impassable passage, setting a new low of ice cover as seen in satellite measurements which went back to 1978. An ice-bound northern route was discovered in 1850 by the Irish explorer Robert McClure; it was through a more southerly opening in an area explored by the Scotsman John Rae in 1854 that Norwegian Roald Amundsen made the first complete passage in 1903–1906. In 1602, George Weymouth became the first European to explore what would later be called Hudson Strait when he sailed Discovery 300 nautical miles (560 km) into the Strait.

Recorded date: 2007-08-21."
d009,CLM008,date,2012-08-28,2012-08-28,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
March 26, 1892. p. 11. from year to year, made possible the new M.A.C. Last of the ‘Big Four’ was President Henry H. Goodell—classicist, modern thinker, lover of literature and the arts, disciplinarian, sympathizer, self-forgetter. August 28, 2012. October 31, 2013.

Recorded date: 2012-08-28."
d010,CLM009,date,2000-01-01,2000-01-01,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Earth's increasing surface temperature will accelerate the inorganic carbon cycle, reducing CO 2 concentration to levels lethally low for plants (10 ppm for C4 photosynthesis) in approximately 100–900 million years. New Year is the time or day at which a new calendar year begins and the calendar's year count increments by one. A tropical year (also known as a solar year) is the time that the Sun takes to return to the same position in the cycle of seasons, as seen from Earth; for example, the time from vernal equinox to vernal equinox, or from summer solstice to summer solstice. This is currently on or close to January 1. Its average duration is 365.256363004 days (365 d 6 h 9 min 9.76 s) (at the epoch J2000.0 = January 1, 2000, 12:00:00 TT).

Recorded date: 2000-01-01."
